filename,label
Compliant/1.webp,compliant
Compliant/10.png,compliant
Compliant/100.png,compliant
Compliant/101.png,compliant
Compliant/102.png,compliant
Compliant/103.png,compliant
Compliant/104.png,compliant
Compliant/105.png,compliant
Compliant/106.png,compliant
Compliant/107.png,compliant
Compliant/108.png,compliant
Compliant/109.png,compliant
Compliant/11.png,compliant
Compliant/110.png,compliant
Compliant/111.png,compliant
Compliant/112.png,compliant
Compliant/12.png,compliant
Compliant/13.png,compliant
Compliant/14.png,compliant
Compliant/15.png,compliant
Compliant/16.png,compliant
Compliant/17.png,compliant
Compliant/18.png,compliant
Compliant/19.png,compliant
Compliant/2.png,compliant
Compliant/20.png,compliant
Compliant/21.png,compliant
Compliant/22.png,compliant
Compliant/23.png,compliant
Compliant/24.png,compliant
Compliant/25.png,compliant
Compliant/26.png,compliant
Compliant/27.png,compliant
Compliant/28.png,compliant
Compliant/29.png,compliant
Compliant/3.png,compliant
Compliant/30.png,compliant
Compliant/31.png,compliant
Compliant/34.png,compliant
Compliant/35.png,compliant
Compliant/36.png,compliant
Compliant/37.png,compliant
Compliant/38.png,compliant
Compliant/39.png,compliant
Compliant/4.png,compliant
Compliant/40.png,compliant
Compliant/41.png,compliant
Compliant/42.png,compliant
Compliant/44.png,compliant
Compliant/45.png,compliant
Compliant/47.webp,compliant
Compliant/49.png,compliant
Compliant/5.png,compliant
Compliant/50.jpg,compliant
Compliant/51.png,compliant
Compliant/52.png,compliant
Compliant/53.jpg,compliant
Compliant/54.png,compliant
Compliant/55.png,compliant
Compliant/56.png,compliant
Compliant/57.png,compliant
Compliant/58.png,compliant
Compliant/59.png,compliant
Compliant/6.png,compliant
Compliant/60.png,compliant
Compliant/61.jpg,compliant
Compliant/62.jpg,compliant
Compliant/63.jpg,compliant
Compliant/64.jpg,compliant
Compliant/65.jpg,compliant
Compliant/66.png,compliant
Compliant/67.png,compliant
Compliant/68.png,compliant
Compliant/69.png,compliant
Compliant/7.png,compliant
Compliant/70.png,compliant
Compliant/71.webp,compliant
Compliant/73.webp,compliant
Compliant/74.png,compliant
Compliant/75.png,compliant
Compliant/76.png,compliant
Compliant/77.png,compliant
Compliant/78.png,compliant
Compliant/79.png,compliant
Compliant/8.png,compliant
Compliant/80.png,compliant
Compliant/81.png,compliant
Compliant/82.png,compliant
Compliant/83.png,compliant
Compliant/84.png,compliant
Compliant/85.png,compliant
Compliant/86.png,compliant
Compliant/87.png,compliant
Compliant/88.png,compliant
Compliant/89.png,compliant
Compliant/9.png,compliant
Compliant/90.png,compliant
Compliant/91.png,compliant
Compliant/92.png,compliant
Compliant/93.png,compliant
Compliant/94.png,compliant
Compliant/95.png,compliant
Compliant/96.png,compliant
Compliant/97.png,compliant
Compliant/98.png,compliant
Compliant/99.png,compliant
Not Compliant/Scaling_not_compliant_001.jpg,noncompliant
Not Compliant/Scaling_not_compliant_002.png,noncompliant
Not Compliant/Scaling_not_compliant_003.png,noncompliant
Not Compliant/Scaling_not_compliant_004.png,noncompliant
Not Compliant/Scaling_not_compliant_005.png,noncompliant
Not Compliant/Scaling_not_compliant_006.jpg,noncompliant
Not Compliant/Scaling_not_compliant_007.jpg,noncompliant
Not Compliant/Scaling_not_compliant_008.jpg,noncompliant
Not Compliant/Scaling_not_compliant_011.jpg,noncompliant
Not Compliant/Scaling_not_compliant_012.jpg,noncompliant
Not Compliant/Scaling_not_compliant_013.jpg,noncompliant
Not Compliant/Scaling_not_compliant_014.jpg,noncompliant
Not Compliant/Scaling_not_compliant_015.jpg,noncompliant
Not Compliant/Scaling_not_compliant_016.jpg,noncompliant
Not Compliant/Scaling_not_compliant_017.jpg,noncompliant
Not Compliant/Scaling_not_compliant_018.jpg,noncompliant
Not Compliant/Scaling_not_compliant_019.jpg,noncompliant
Not Compliant/Scaling_not_compliant_020.jpg,noncompliant
Not Compliant/Scaling_not_compliant_021.png,noncompliant
Not Compliant/Scaling_not_compliant_022.png,noncompliant
Not Compliant/Scaling_not_compliant_023.png,noncompliant
Not Compliant/Scaling_not_compliant_025.png,noncompliant
Not Compliant/Scaling_not_compliant_026.png,noncompliant
Not Compliant/Screenshot 2026-03-27 at 11.06.54.png,noncompliant
Not Compliant/Screenshot 2026-03-27 at 11.11.31.png,noncompliant
Not Compliant/Screenshot 2026-03-27 at 11.13.33.png,noncompliant
Not Compliant/Screenshot 2026-03-27 at 11.14.30.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 12.35.02.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 13.06.28.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 13.25.23.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 13.28.42.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 13.31.42.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 13.48.39.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 15.59.54.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 16.02.06.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 16.02.29.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 16.02.44.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 16.03.45.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 16.05.26.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 16.05.49.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 16.06.55.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.00.37.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.05.48.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.06.24.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.07.20.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.09.00.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.10.46.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.11.08.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.11.27.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.12.12.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.12.21.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.13.41.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.52.41.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.52.56.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.53.20.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.54.02.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.55.13.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.58.42.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.59.19.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.59.40.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 19.59.49.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 20.00.08.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 20.00.56.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 20.01.49.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 20.04.08.png,noncompliant
Not Compliant/Screenshot 2026-03-29 at 20.05.07.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 13.43.16.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 13.49.57.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 13.52.58.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 13.55.43.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 13.57.33.png,noncompliant
Not Compliant/Screenshot 2026-03-30 at 14.00.38.png,noncompliant
